city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
Prague,7.0,4.2,181,private,2,0,1,1,shoulder,0,0.76,26,1,0,1,1,0,3,178,private,36.43
Budapest,4.6,3.7,35,dorm,10,0,1,1,shoulder,0,0.6,5,1,0,1,0,1,5,211,private,17.5
Budapest,3.1,3.0,49,dorm,6,1,1,1,shoulder,0,0.53,14,0,0,1,0,1,6,202,private,17.94
London,2.3,3.4,44,private,2,0,1,1,peak,1,0.94,29,0,0,1,1,0,4,158,private,96.83
Warsaw,3.2,3.8,50,dorm,8,1,1,0,shoulder,1,0.74,24,0,1,1,1,0,6,165,private,22.43
Budapest,7.2,3.3,85,dorm,8,0,1,0,peak,0,0.72,29,0,1,1,0,0,2,235,private,13.98
Madrid,4.3,3.2,40,dorm,10,1,1,1,shoulder,1,0.63,9,0,1,0,0,0,5,183,shared,18.79
Madrid,6.2,4.9,415,dorm,8,0,1,1,peak,0,0.74,25,0,0,1,1,0,2,197,private,19.78
Lisbon,2.5,4.6,490,dorm,12,0,1,0,shoulder,0,0.77,16,0,1,1,1,1,2,125,shared,20.25
Brussels,1.6,3.4,9,private,1,0,1,0,peak,1,0.96,15,0,1,0,0,1,5,193,shared,121.51
Barcelona,5.4,3.8,115,dorm,4,1,1,1,shoulder,0,0.53,30,1,1,1,1,0,5,221,private,25.27
Milan,1.1,4.1,188,private,2,0,1,1,shoulder,1,0.63,29,1,0,0,1,0,6,123,private,74.74
Warsaw,6.5,2.5,91,dorm,6,1,1,1,low,1,0.46,23,0,0,0,0,0,2,216,shared,12.97
Brussels,7.9,3.9,119,dorm,4,0,1,1,low,1,0.66,15,1,1,1,1,1,3,155,private,24.94
Lisbon,1.8,3.9,125,dorm,6,1,1,1,low,0,0.69,30,1,0,1,1,0,3,185,shared,20.41
Milan,6.9,2.6,92,private,1,0,1,1,low,0,0.44,12,0,1,0,1,1,5,129,private,59.12
Helsinki,1.9,3.6,108,dorm,12,1,1,1,peak,1,0.77,27,1,0,0,0,0,4,181,private,32.49
Prague,2.9,3.5,143,private,2,0,1,1,peak,0,0.84,6,1,0,1,0,1,1,168,shared,62.1
Lisbon,1.4,3.2,90,private,1,1,1,0,shoulder,1,0.6,10,1,1,1,0,0,6,169,shared,87.87
Copenhagen,2.3,4.4,208,private,1,1,1,1,peak,0,0.75,13,0,0,1,1,0,5,149,shared,132.76
Paris,5.4,4.4,286,dorm,6,1,1,0,low,1,0.51,16,0,1,1,0,0,3,200,shared,25.7
Lisbon,0.8,2.6,88,dorm,4,1,1,0,low,1,0.56,7,0,0,0,1,0,4,220,private,23.93
Copenhagen,4.8,4.5,242,private,1,0,1,1,low,1,0.32,9,1,1,1,1,0,6,113,private,95.3
Budapest,5.5,4.0,212,dorm,6,0,1,0,low,1,0.43,16,0,0,1,1,0,6,139,private,16.32
Paris,2.5,3.9,110,private,1,1,1,0,shoulder,1,0.72,5,1,1,0,1,0,5,194,private,122.21
Rome,3.0,4.8,164,private,1,1,1,1,low,0,0.42,27,0,0,1,1,0,5,102,private,60.84
London,2.1,3.3,98,dorm,4,1,1,1,low,0,0.67,27,0,0,1,0,0,5,242,shared,20.11
Milan,5.3,2.6,18,dorm,4,0,1,0,peak,1,0.97,30,0,0,1,1,0,5,183,private,37.76
London,0.8,3.0,20,private,2,1,1,1,low,0,0.62,13,0,0,0,1,0,2,179,private,53.3
Milan,5.5,2.6,63,private,1,0,1,0,shoulder,0,0.78,16,0,1,1,0,1,5,171,shared,72.92
Rome,1.9,2.8,59,private,2,1,1,0,shoulder,0,0.53,24,1,0,0,1,1,3,150,shared,48.93
Budapest,1.6,2.6,73,dorm,8,0,1,0,shoulder,0,0.66,20,0,0,1,0,1,4,160,shared,13.42
Stockholm,5.5,4.3,83,private,2,0,1,1,peak,0,0.99,17,1,1,0,1,0,2,164,private,105.13
Rome,5.6,3.2,67,dorm,12,1,1,0,low,0,0.45,1,1,1,1,1,1,4,166,shared,15.29
London,5.0,2.8,42,private,1,0,1,0,shoulder,0,0.64,2,0,1,1,1,1,5,145,shared,64.51
Dublin,7.4,4.2,124,dorm,12,1,1,1,peak,1,0.95,15,1,0,0,1,1,6,146,shared,25.78
Budapest,3.9,3.5,48,private,2,1,1,0,peak,1,0.7,24,0,0,0,1,0,2,116,shared,55.74
Athens,5.1,4.2,262,dorm,12,1,1,0,low,1,0.63,6,1,1,0,0,1,5,177,shared,17.18
Stockholm,2.7,4.5,166,private,1,1,1,0,peak,1,0.74,12,0,1,1,1,0,1,184,shared,181.28
Stockholm,6.2,3.0,74,dorm,12,0,1,0,shoulder,1,0.51,5,1,0,1,0,0,2,178,private,22.4
Milan,1.9,2.7,6,private,1,0,1,1,shoulder,0,0.79,13,0,1,0,0,0,6,181,private,76.89
Lisbon,6.2,4.1,286,private,2,1,1,1,low,0,0.56,0,0,1,1,1,1,3,149,private,41.76
Oslo,0.8,4.7,384,dorm,6,1,1,0,peak,0,0.96,7,1,0,1,1,0,5,120,private,58.81
Barcelona,5.3,4.1,88,dorm,6,0,1,1,shoulder,0,0.51,29,0,0,1,1,0,4,244,shared,18.14
Rome,0.2,4.2,277,dorm,12,1,1,0,peak,0,0.73,28,0,0,1,0,0,1,246,shared,20.83
Barcelona,2.8,4.5,180,dorm,6,1,1,1,low,1,0.69,4,1,1,0,1,1,3,166,shared,38.24
Lisbon,3.1,4.2,142,private,2,1,1,0,peak,0,0.74,3,1,1,1,1,0,2,105,shared,88.05
Rome,0.6,4.8,470,private,1,1,1,1,shoulder,1,0.62,13,1,0,0,1,0,3,187,private,110.34
Brussels,3.4,4.9,303,dorm,12,1,1,1,low,1,0.52,0,1,1,1,1,0,1,194,private,34.21
Budapest,4.2,2.9,48,private,1,0,1,0,shoulder,1,0.63,21,0,0,1,0,0,5,153,private,45.67
Vienna,5.1,3.4,14,dorm,4,1,1,1,shoulder,0,0.67,2,1,1,0,0,0,3,178,shared,31.78
Barcelona,5.1,4.2,144,dorm,12,1,1,0,low,0,0.64,11,1,0,0,1,1,4,190,shared,18.77
Brussels,4.6,3.4,64,dorm,12,0,1,1,shoulder,0,0.51,19,0,1,1,1,0,2,178,shared,17.07
Dublin,4.3,4.5,454,private,2,0,1,1,low,1,0.53,4,1,1,0,0,0,4,197,private,80.43
Helsinki,6.1,3.6,45,private,1,0,1,0,peak,1,0.77,26,0,0,1,1,0,4,174,private,95.17
Paris,2.8,4.4,123,private,2,1,1,1,peak,0,0.89,18,1,0,0,1,1,2,166,shared,98.29
Brussels,4.9,4.6,162,private,2,1,1,1,low,0,0.34,19,0,1,0,1,0,5,198,private,46.06
Milan,3.8,3.2,94,dorm,4,0,1,1,peak,1,0.94,3,0,1,1,0,0,6,189,private,51.31
Madrid,6.5,3.4,98,dorm,4,1,1,0,shoulder,1,0.55,22,1,1,0,1,1,4,167,private,23.51
Warsaw,6.8,3.3,92,private,2,0,1,1,shoulder,0,0.7,25,0,1,0,0,0,6,124,shared,25.47
Copenhagen,4.4,2.7,65,dorm,10,1,1,0,peak,0,0.79,30,1,0,0,0,0,2,249,shared,23.35
Madrid,2.5,4.3,146,dorm,6,1,1,1,low,0,0.55,0,1,1,1,1,0,6,217,shared,24.81
Warsaw,0.4,3.7,89,dorm,10,1,1,0,low,0,0.49,2,1,0,0,0,0,6,204,private,17.39
Warsaw,5.4,4.5,159,dorm,4,0,1,1,low,1,0.4,21,1,1,1,1,0,4,167,private,21.51
Madrid,3.8,4.1,286,dorm,6,0,1,0,low,1,0.56,16,1,1,1,1,0,6,127,private,26.64
Vienna,0.3,3.8,119,dorm,8,1,1,0,peak,1,0.92,20,0,1,1,1,1,4,137,private,37.27
Brussels,7.8,4.2,168,dorm,12,0,1,0,low,0,0.58,18,0,0,1,1,0,6,240,shared,12.51
Berlin,4.6,3.0,55,dorm,10,0,1,0,peak,0,0.93,14,0,0,1,0,0,3,126,private,21.03
Vienna,6.3,4.3,228,dorm,4,1,1,0,peak,0,0.79,16,1,0,0,1,1,3,140,shared,32.59
Warsaw,1.5,3.1,6,private,1,0,1,0,low,0,0.6,24,0,0,0,0,1,3,188,shared,40.08
Prague,1.2,3.0,51,private,2,0,1,1,shoulder,1,0.76,30,1,1,1,1,0,4,169,private,58.75
Lisbon,5.1,3.5,80,dorm,8,1,1,1,peak,1,1.0,7,1,1,1,0,0,5,128,private,35.74
Lisbon,5.0,4.9,248,private,2,0,1,0,peak,0,0.99,9,0,0,0,0,0,2,155,private,61.13
Milan,2.1,2.9,70,private,1,1,1,0,peak,1,0.86,6,1,1,1,0,0,2,186,private,162.68
Prague,4.7,3.0,55,private,2,0,1,1,low,1,0.63,29,1,0,1,0,1,4,168,shared,36.77
Stockholm,0.5,2.6,59,dorm,6,1,1,1,low,0,0.44,24,1,1,1,1,0,3,165,shared,26.68
Milan,3.8,4.0,90,dorm,6,0,1,1,low,1,0.68,27,1,0,0,1,0,6,245,shared,25.37
Oslo,1.1,4.7,448,private,2,0,1,1,low,0,0.31,16,0,0,1,0,0,4,186,private,74.75
Athens,1.7,3.9,139,private,2,1,1,1,low,0,0.49,13,0,1,1,1,0,3,163,shared,44.09
Brussels,6.6,3.3,43,private,2,1,1,0,peak,0,0.77,20,0,0,0,1,1,1,178,private,56.7
Lisbon,5.5,2.8,49,dorm,10,1,1,0,peak,0,0.93,18,0,1,0,1,0,1,164,private,19.23
Lisbon,8.0,4.2,89,dorm,4,0,1,1,low,0,0.41,6,0,0,0,1,1,1,235,shared,17.43
Madrid,6.6,2.7,14,dorm,8,0,1,1,shoulder,1,0.7,2,0,0,1,1,0,3,157,shared,18.29
Copenhagen,2.4,3.6,126,private,2,0,1,1,peak,1,0.76,16,0,1,0,1,1,4,134,shared,96.95
Copenhagen,3.1,3.6,143,private,1,0,1,0,peak,0,0.93,22,0,0,1,1,1,4,163,shared,112.57
Lisbon,3.1,4.2,86,private,2,1,1,0,low,0,0.37,25,0,1,1,1,0,2,117,shared,38.86
Stockholm,7.7,3.7,105,private,2,1,1,0,low,0,0.6,3,1,1,0,0,0,2,145,private,58.06
Prague,7.8,4.0,86,dorm,6,1,1,0,low,1,0.68,27,0,1,1,1,0,4,177,private,16.82
Stockholm,7.1,4.6,487,dorm,8,0,1,1,low,0,0.5,2,1,1,1,0,0,2,181,shared,24.04
Amsterdam,1.6,4.9,251,private,1,1,1,0,peak,1,0.75,22,1,0,1,1,0,4,129,private,118.95
Athens,2.1,3.4,66,private,1,1,1,1,peak,1,0.74,12,0,0,1,0,0,6,107,shared,109.88
Oslo,6.0,4.4,255,dorm,12,0,1,1,peak,0,0.78,28,0,1,1,1,1,5,245,private,22.24
Milan,3.8,3.2,37,private,1,0,1,0,low,0,0.66,13,0,1,0,1,0,5,116,private,84.08
Budapest,2.0,4.3,164,dorm,12,1,1,1,low,0,0.57,28,0,0,0,0,0,4,160,shared,12.47
Berlin,7.9,3.4,14,private,2,0,1,1,shoulder,1,0.69,6,0,1,1,0,1,6,122,private,44.23
Budapest,5.9,4.0,203,private,1,1,1,0,low,0,0.48,24,1,0,0,1,0,6,161,shared,33.82
Budapest,1.5,4.5,458,dorm,10,1,1,1,shoulder,1,0.66,9,1,0,1,1,1,4,224,shared,22.59
Copenhagen,4.6,3.1,54,dorm,6,1,1,0,shoulder,0,0.65,18,1,0,0,1,0,4,145,shared,23.05
Stockholm,1.6,4.2,230,dorm,12,1,1,1,low,0,0.64,27,1,0,0,1,1,2,172,shared,19.69
Barcelona,7.9,3.4,40,private,2,1,1,0,peak,1,0.97,27,0,0,1,0,0,6,149,shared,54.34
Brussels,0.3,3.7,62,private,2,0,1,1,low,1,0.53,29,1,0,1,1,1,2,137,private,69.01
Amsterdam,0.2,2.5,25,dorm,12,0,1,0,low,1,0.53,24,0,0,1,0,0,1,132,shared,22.64
Dublin,2.4,3.8,99,private,1,0,1,1,shoulder,1,0.79,3,1,1,1,1,0,1,168,private,126.75
Amsterdam,0.6,3.0,65,private,1,1,1,1,shoulder,1,0.63,26,0,1,1,1,1,5,101,private,84.88
Vienna,1.2,4.7,423,dorm,10,1,1,1,low,0,0.51,26,0,1,0,1,0,1,146,shared,17.87
Lisbon,3.1,3.1,54,private,2,1,1,0,shoulder,0,0.73,30,0,1,0,0,0,2,124,shared,40.52
Prague,1.0,4.4,268,private,1,1,1,1,shoulder,1,0.67,9,0,1,1,1,0,2,133,shared,95.0
London,0.6,3.3,96,private,1,1,1,1,shoulder,0,0.74,19,1,0,1,0,0,1,174,shared,94.45
Budapest,0.5,3.0,34,private,2,1,1,1,low,0,0.64,25,0,1,1,0,0,2,141,private,37.16
Vienna,1.6,3.6,72,private,2,1,1,0,shoulder,0,0.59,20,1,0,0,1,0,2,100,private,52.97
Oslo,1.9,2.7,78,dorm,6,1,1,0,shoulder,1,0.54,16,0,0,1,1,0,5,134,private,36.71
Rome,1.1,4.4,174,private,1,0,1,1,low,0,0.3,24,1,1,1,1,0,3,163,shared,58.47
Berlin,7.4,2.7,21,dorm,6,1,1,0,peak,0,0.81,29,0,1,0,0,0,4,200,shared,16.17
Athens,4.4,4.8,308,private,2,0,1,1,low,0,0.34,0,1,1,1,1,0,3,101,private,55.35
Helsinki,7.6,4.9,384,dorm,4,1,1,1,shoulder,0,0.61,12,1,0,0,1,1,2,146,shared,24.83
Barcelona,3.6,3.0,84,dorm,4,0,1,0,peak,1,0.76,11,0,1,1,1,0,3,126,shared,43.49
Helsinki,3.3,3.8,134,private,2,1,1,1,peak,1,0.73,30,1,1,0,0,0,3,171,shared,73.92
Paris,2.8,5.0,366,private,2,1,1,1,peak,0,0.76,22,0,0,0,1,1,5,112,private,89.34
Warsaw,4.0,3.5,111,private,2,1,1,1,shoulder,0,0.69,18,0,1,1,0,1,6,104,shared,36.31
Brussels,2.5,4.8,253,dorm,4,1,1,1,low,0,0.51,19,1,1,1,1,0,3,231,shared,35.61
Milan,0.8,4.7,208,dorm,12,0,1,0,shoulder,1,0.65,2,1,0,1,1,1,5,123,private,42.48
Milan,5.0,4.4,162,dorm,4,1,1,1,low,1,0.69,16,1,0,1,1,1,5,184,private,40.45
Prague,2.3,4.2,113,dorm,4,1,1,0,shoulder,1,0.74,1,1,1,1,0,0,3,212,shared,38.94
Berlin,2.3,3.2,70,dorm,4,0,1,0,low,1,0.65,16,1,0,0,0,1,5,220,private,28.64
Oslo,7.0,3.5,97,private,2,0,1,1,shoulder,1,0.59,22,0,0,1,1,1,4,157,private,62.87
Vienna,7.2,2.9,85,private,2,1,1,0,shoulder,0,0.76,21,0,0,1,1,0,3,172,shared,38.34
Oslo,6.5,3.5,40,private,2,1,1,1,shoulder,1,0.69,7,0,1,1,1,0,5,190,private,83.25
Prague,2.4,4.8,410,private,1,0,1,0,shoulder,0,0.58,18,1,0,1,1,0,3,197,private,52.66
Berlin,6.6,3.6,117,dorm,6,0,1,1,peak,0,0.87,1,1,1,0,1,1,1,184,private,29.08
Madrid,6.9,4.7,223,dorm,10,1,1,1,low,1,0.47,15,0,1,1,0,0,5,126,private,17.64
Athens,7.4,3.2,49,private,1,1,1,0,low,0,0.64,13,1,0,1,1,0,4,150,shared,44.4
Copenhagen,1.9,2.7,89,private,1,1,1,1,peak,1,0.97,18,1,0,0,0,1,5,141,private,125.99
Lisbon,0.3,4.6,398,private,2,1,1,0,low,0,0.41,11,1,0,1,1,1,3,177,shared,61.44
Oslo,0.9,4.8,353,dorm,12,1,1,1,peak,1,0.78,20,0,1,0,0,1,3,122,shared,44.51
Lisbon,0.4,3.5,114,private,2,0,1,1,low,1,0.57,18,1,0,1,1,1,6,170,shared,60.57
Athens,4.8,3.6,139,dorm,10,1,1,0,peak,0,0.76,1,0,0,0,1,1,3,128,shared,24.85
Warsaw,1.7,3.0,87,private,1,1,1,1,peak,0,0.77,29,0,0,1,1,0,4,198,shared,57.55
Stockholm,5.7,3.4,66,private,1,0,1,1,low,1,0.39,30,0,0,0,0,0,5,197,shared,54.8
Lisbon,2.5,4.0,238,dorm,4,1,1,1,shoulder,0,0.5,9,1,1,1,1,1,6,232,private,31.09
Warsaw,6.7,4.1,271,private,1,1,1,0,peak,0,0.82,7,1,0,1,1,1,6,171,private,71.0
Brussels,6.5,3.1,37,private,1,0,1,1,peak,0,0.71,12,0,1,1,1,1,3,129,private,89.12
Vienna,3.1,4.4,176,private,1,0,1,1,shoulder,0,0.6,6,0,0,1,1,1,6,139,private,88.2
Stockholm,3.7,4.0,299,dorm,10,1,1,1,shoulder,1,0.6,19,1,1,1,1,0,5,136,shared,32.85
Copenhagen,7.8,5.0,394,dorm,6,1,1,0,low,0,0.54,6,1,0,1,1,1,5,207,shared,22.68
Prague,4.8,4.5,326,dorm,8,0,1,0,peak,0,0.97,18,1,0,1,0,0,6,145,shared,20.4
Stockholm,2.5,2.8,31,dorm,10,0,1,0,peak,0,0.76,1,1,1,1,1,0,2,157,shared,35.09
Prague,2.0,2.5,27,private,1,0,1,0,shoulder,1,0.77,11,1,0,0,0,0,3,136,shared,71.77
Berlin,1.4,4.9,306,dorm,12,1,1,1,low,0,0.3,11,1,1,1,1,1,5,194,private,19.49
Athens,4.5,4.9,421,private,1,1,1,0,low,0,0.7,16,0,1,0,0,1,2,124,shared,55.21
Lisbon,0.3,3.3,67,dorm,12,1,1,0,shoulder,0,0.57,4,0,0,0,1,0,1,137,private,21.91
Barcelona,1.6,2.7,99,private,2,1,1,1,low,0,0.57,28,0,0,1,0,1,4,183,private,37.41
Madrid,0.8,4.0,201,private,2,1,1,0,peak,1,0.99,1,1,0,1,1,1,6,179,shared,111.82
Lisbon,5.6,3.4,21,private,1,1,1,0,low,1,0.61,26,0,0,1,1,0,3,154,private,44.72
Paris,6.3,4.2,217,dorm,12,1,1,0,low,0,0.53,3,1,0,1,0,0,6,217,shared,17.95
Dublin,2.7,3.1,58,private,2,0,1,0,low,1,0.56,19,0,1,1,1,1,5,187,private,55.87
Lisbon,7.7,3.4,26,private,2,0,1,1,low,0,0.58,27,0,1,1,1,1,6,183,private,27.1
Paris,1.4,2.7,22,dorm,6,0,1,1,shoulder,0,0.79,15,1,0,0,0,0,5,145,shared,27.3
Oslo,2.6,4.6,466,private,2,1,1,1,low,0,0.53,11,1,0,1,0,1,5,131,shared,71.29
Berlin,2.2,4.2,284,dorm,10,1,1,0,shoulder,0,0.79,20,1,0,1,0,0,5,159,shared,23.15
Vienna,5.1,2.8,58,private,2,0,1,1,shoulder,0,0.63,17,0,0,1,0,0,6,116,private,40.14
Berlin,1.9,3.7,120,private,1,1,1,1,low,0,0.57,16,1,0,1,0,0,1,193,shared,69.04
Milan,0.4,4.7,427,private,2,1,1,1,low,0,0.35,26,0,0,1,1,0,5,161,private,65.94
Helsinki,7.2,2.9,20,dorm,8,0,1,0,low,0,0.54,17,1,1,0,1,1,5,164,private,15.02
Brussels,5.2,5.0,176,dorm,6,1,1,0,low,0,0.68,19,0,0,0,1,1,2,244,private,19.54
Madrid,3.5,4.9,156,dorm,12,1,1,1,peak,0,0.7,16,1,1,0,1,0,5,203,private,26.06
Helsinki,5.1,4.9,261,private,2,1,1,1,shoulder,1,0.76,15,1,1,1,0,1,1,123,shared,89.07
Paris,0.3,3.3,96,private,2,0,1,0,shoulder,1,0.6,15,1,0,1,0,0,3,151,private,80.25
Milan,0.9,3.1,67,dorm,10,0,1,1,shoulder,1,0.64,4,1,0,0,0,0,6,186,shared,37.1
Copenhagen,7.5,3.7,46,private,1,1,1,0,peak,1,0.81,15,1,1,0,1,0,6,117,shared,110.54
Budapest,1.1,4.8,226,dorm,4,1,1,1,shoulder,1,0.72,21,0,0,1,0,0,6,135,private,26.03
Milan,7.5,3.9,49,dorm,6,1,1,1,low,1,0.46,1,1,0,1,0,0,5,179,private,22.65
Copenhagen,3.2,3.7,119,dorm,12,1,1,1,low,0,0.5,14,0,0,1,1,1,6,192,shared,19.03
Helsinki,4.8,3.7,95,dorm,4,1,1,0,shoulder,1,0.68,0,1,1,1,1,0,1,165,private,48.22
Vienna,2.1,4.1,271,dorm,10,1,1,0,peak,0,0.87,28,0,0,0,1,0,5,170,private,26.04
Rome,0.9,4.4,255,private,2,0,1,1,low,1,0.33,7,1,0,1,1,0,5,145,shared,67.04
Vienna,2.2,3.6,55,dorm,6,1,1,0,low,0,0.36,30,0,0,0,0,0,3,247,shared,13.45
Paris,0.8,3.1,40,private,1,1,1,0,peak,1,0.75,19,1,0,0,1,0,4,146,private,125.76
Athens,5.4,4.3,238,dorm,8,1,1,0,shoulder,1,0.59,2,1,1,1,0,0,4,132,private,27.91
Vienna,2.2,3.4,12,dorm,6,0,1,1,peak,0,0.79,19,0,1,0,0,0,5,204,private,28.52
Barcelona,5.9,3.6,97,private,2,1,1,1,low,0,0.64,26,0,1,1,1,0,4,106,shared,41.05
Oslo,4.4,3.8,76,private,2,0,1,0,shoulder,1,0.54,9,1,0,1,0,0,3,122,shared,90.05
Warsaw,0.1,4.2,82,private,1,0,1,0,peak,1,0.76,26,0,0,1,0,0,1,141,shared,89.38
Rome,3.0,3.9,48,dorm,12,1,1,0,peak,0,0.77,28,0,1,1,0,1,3,213,private,19.77
Lisbon,6.7,3.4,81,dorm,10,1,1,0,shoulder,1,0.58,8,1,1,1,1,0,1,173,private,21.07
Budapest,5.4,3.1,65,dorm,10,0,1,0,shoulder,0,0.67,17,0,0,1,1,1,4,234,shared,14.92
Budapest,1.7,4.3,296,private,2,1,1,1,peak,0,0.9,16,1,0,1,1,0,6,151,private,69.42
Milan,0.6,4.5,207,dorm,8,0,1,0,shoulder,0,0.72,23,0,0,1,1,1,6,176,shared,33.68
Athens,2.5,3.2,58,private,2,1,1,1,peak,1,0.9,2,1,1,1,1,0,1,156,shared,95.68
Berlin,4.4,4.1,223,dorm,6,0,1,0,low,1,0.42,16,1,0,1,1,1,5,160,private,19.2
Oslo,0.7,4.2,191,dorm,4,0,1,0,peak,0,0.81,15,1,0,1,0,1,5,218,private,58.21
Madrid,1.8,3.9,34,private,1,1,1,0,peak,0,0.81,22,1,1,0,0,1,2,148,shared,95.5
Prague,5.6,3.6,85,dorm,8,1,1,0,low,0,0.63,29,0,0,1,1,0,5,132,shared,11.95
Barcelona,2.9,2.7,45,private,1,1,1,0,shoulder,1,0.68,30,0,1,0,0,1,1,108,private,62.85
Berlin,4.3,4.4,159,dorm,4,0,1,1,low,1,0.35,2,1,1,1,1,0,3,199,shared,33.07
Madrid,6.9,4.7,413,dorm,6,1,1,1,peak,0,0.9,15,1,1,1,1,0,4,242,private,28.01
Stockholm,2.7,3.2,88,dorm,6,0,1,1,peak,1,1.0,3,1,1,1,1,0,4,150,private,67.15
London,3.2,4.9,470,dorm,6,1,1,1,peak,1,0.79,4,1,1,1,1,0,2,185,shared,48.8
Stockholm,7.1,4.4,244,dorm,6,0,1,0,peak,0,0.73,29,0,0,0,1,1,3,154,private,24.36
Barcelona,0.3,4.8,492,private,1,1,1,1,low,1,0.64,29,0,0,1,1,0,1,169,shared,72.65
London,2.0,4.2,271,private,1,1,1,0,low,1,0.37,6,1,1,1,1,0,3,128,private,105.36
Prague,6.4,3.6,119,dorm,12,0,1,0,shoulder,1,0.56,12,1,1,1,1,0,4,192,shared,18.98
Athens,5.0,3.7,140,dorm,8,0,1,0,peak,1,0.87,22,1,0,1,1,1,5,141,shared,25.12
Rome,0.5,2.6,99,dorm,8,1,1,1,low,1,0.46,22,0,0,1,0,0,5,234,shared,18.64
Rome,4.7,2.7,86,private,1,0,1,1,shoulder,1,0.7,11,0,1,1,0,0,1,196,private,74.5
Copenhagen,4.5,2.8,62,private,1,0,1,1,peak,1,0.95,30,1,0,0,0,1,2,124,shared,100.53
